瘤痢,瘤痢疙,老矫,乞闭扁柯,岿钦碍荐樊
159,何魂,2007-08-01,26.7,128.1
159,何魂,2007-09-01,22.9,210.2
159,何魂,2007-10-01,18.3,119
159,何魂,2007-11-01,11.9,0
159,何魂,2007-12-01,7.3,46
159,何魂,2008-01-01,4.7,35.7
159,何魂,2008-02-01,3.8,19.1
159,何魂,2008-03-01,9.5,73.7
159,何魂,2008-04-01,13.9,80.5
159,何魂,2008-05-01,17.4,191.3
159,何魂,2008-06-01,19.7,186.5
159,何魂,2008-07-01,25.6,107.1
159,何魂,2008-08-01,25,368.5
159,何魂,2008-09-01,22.9,22.2
159,何魂,2008-10-01,19.1,52.2
159,何魂,2008-11-01,11.6,22
159,何魂,2008-12-01,6.6,9.5
159,何魂,2009-01-01,3.5,17
159,何魂,2009-02-01,8.3,79
159,何魂,2009-03-01,9.8,72.7
159,何魂,2009-04-01,14.3,95.5
159,何魂,2009-05-01,18.6,173.4
159,何魂,2009-06-01,21.4,187.9
159,何魂,2009-07-01,23.3,886.1
159,何魂,2009-08-01,25,84.8
159,何魂,2009-09-01,22.7,20
159,何魂,2009-10-01,18.8,74.4
159,何魂,2009-11-01,11.1,69
159,何魂,2009-12-01,5.4,13.1
159,何魂,2010-01-01,3,37.6
159,何魂,2010-02-01,5.8,91.1
159,何魂,2010-03-01,7.8,132.9
159,何魂,2010-04-01,11.5,146.3
159,何魂,2010-05-01,17.2,186.8
159,何魂,2010-06-01,22,94.4
159,何魂,2010-07-01,25.2,291.9
159,何魂,2010-08-01,27.9,165.3
159,何魂,2010-09-01,24.1,182.5
159,何魂,2010-10-01,18.2,72.6
159,何魂,2010-11-01,11.3,2
159,何魂,2010-12-01,5.2,38.5
159,何魂,2011-01-01,-0.7,0
159,何魂,2011-02-01,6.1,70.9
159,何魂,2011-03-01,7.4,31.2
159,何魂,2011-04-01,13.1,100
159,何魂,2011-05-01,17.3,170
159,何魂,2011-06-01,21.3,243.2
159,何魂,2011-07-01,25.1,418.1
159,何魂,2011-08-01,25.8,110
159,何魂,2011-09-01,23.3,56.8
159,何魂,2011-10-01,17.6,142.5
159,何魂,2011-11-01,14.1,128.7
159,何魂,2011-12-01,4.4,7.2
159,何魂,2012-01-01,2.8,19.5
159,何魂,2012-02-01,2.8,22.1
159,何魂,2012-03-01,8.3,173.9
159,何魂,2012-04-01,14,213.8
159,何魂,2012-05-01,18.9,36.1
159,何魂,2012-06-01,21.6,97.8
159,何魂,2012-07-01,25.5,502
159,何魂,2012-08-01,27.5,169.4
159,何魂,2012-09-01,22.2,356
159,何魂,2012-10-01,17.8,146.5
159,何魂,2012-11-01,10.1,83.5
159,何魂,2012-12-01,2.9,162.7
159,何魂,2013-01-01,2.5,22.5
159,何魂,2013-02-01,4.7,46.6
159,何魂,2013-03-01,10.2,93.7
159,何魂,2013-04-01,12.6,136.2
159,何魂,2013-05-01,18.2,201
159,何魂,2013-06-01,21.9,159
159,何魂,2013-07-01,26.1,131
159,何魂,2013-08-01,28,144.5
159,何魂,2013-09-01,23.7,30.2
159,何魂,2013-10-01,18.9,91.2
159,何魂,2013-11-01,10.9,61.6
159,何魂,2013-12-01,5.4,12.6
159,何魂,2014-01-01,5,9.6
159,何魂,2014-02-01,5.8,44.1
159,何魂,2014-03-01,9.8,136.7
159,何魂,2014-04-01,14.6,147.8
159,何魂,2014-05-01,18.7,145.9
159,何魂,2014-06-01,21.4,44.5
159,何魂,2014-07-01,24.8,169.3
159,何魂,2014-08-01,24.2,642.2
159,何魂,2014-09-01,22.7,128.7
159,何魂,2014-10-01,17.9,162.5
159,何魂,2014-11-01,12.7,40.5
159,何魂,2014-12-01,3.5,21.3
159,何魂,2015-01-01,4.7,50.7
159,何魂,2015-02-01,5.4,30.5
159,何魂,2015-03-01,9.5,76.5
159,何魂,2015-04-01,13.9,268
159,何魂,2015-05-01,18.8,183
159,何魂,2015-06-01,21,69.2
159,何魂,2015-07-01,23.9,176.7
159,何魂,2015-08-01,26.1,132.5
159,何魂,2015-09-01,22.1,172
159,何魂,2015-10-01,18.1,62
159,何魂,2015-11-01,13.6,124.1
159,何魂,2015-12-01,7.9,51.5
159,何魂,2016-01-01,3.1,59.5
159,何魂,2016-02-01,5.5,63.7
159,何魂,2016-03-01,9.9,133.5
159,何魂,2016-04-01,15.1,198.5
159,何魂,2016-05-01,19.3,108.8
159,何魂,2016-06-01,21.9,115.2
159,何魂,2016-07-01,25.3,188.8
159,何魂,2016-08-01,27.7,141.5
159,何魂,2016-09-01,22.9,407.9
159,何魂,2016-10-01,18.7,182.4
159,何魂,2016-11-01,11.8,56.6
159,何魂,2016-12-01,7.3,103.8
159,何魂,2017-01-01,4.1,12
159,何魂,2017-02-01,5.5,33.8
159,何魂,2017-03-01,9,35.7
159,何魂,2017-04-01,15,105.1
159,何魂,2017-05-01,19,39.2
159,何魂,2017-06-01,21.3,49.8
159,何魂,2017-07-01,26.1,172.1
159,何魂,2017-08-01,27,82.5
159,何魂,2017-09-01,22.6,335
159,何魂,2017-10-01,18.1,138.3
159,何魂,2017-11-01,11.2,0.3
159,何魂,2017-12-01,3.6,10.6
159,何魂,2018-01-01,1.9,40.9
159,何魂,2018-02-01,3.9,52.5
159,何魂,2018-03-01,10,206.1
159,何魂,2018-04-01,14.5,156.4
159,何魂,2018-05-01,17.8,155.8
159,何魂,2018-06-01,21.5,276.7
159,何魂,2018-07-01,26.7,122.1
159,何魂,2018-08-01,27.9,169.7
159,何魂,2018-09-01,21.9,308.4
159,何魂,2018-10-01,16.4,123.7
159,何魂,2018-11-01,12.4,107.3
159,何魂,2018-12-01,5.7,59
159,何魂,2019-01-01,4.5,12.7
159,何魂,2019-02-01,6.6,51.5
159,何魂,2019-03-01,10.5,75.4
159,何魂,2019-04-01,13.4,85
159,何魂,2019-05-01,19.3,76.1
159,何魂,2019-06-01,21.1,324.3
159,何魂,2019-07-01,24.3,358.9
159,何魂,2019-08-01,27,156.3
159,何魂,2019-09-01,23.1,279
159,何魂,2019-10-01,18.6,139.9
159,何魂,2019-11-01,13,13.8
159,何魂,2019-12-01,7,50.3
159,何魂,2020-01-01,6.4,127.7
159,何魂,2020-02-01,7.1,94.9
159,何魂,2020-03-01,10.4,58.8
159,何魂,2020-04-01,12.6,83.5
159,何魂,2020-05-01,17.9,96.2
159,何魂,2020-06-01,22.4,321.1
159,何魂,2020-07-01,22.1,796.8
159,何魂,2020-08-01,27.2,399.2
159,何魂,2020-09-01,21.9,230.5
159,何魂,2020-10-01,17.3,26.4
159,何魂,2020-11-01,12.4,36.3
159,何魂,2020-12-01,4.3,10.2
159,何魂,2021-01-01,3.3,25.8
159,何魂,2021-02-01,7.2,49.5
159,何魂,2021-03-01,11.4,127.5
159,何魂,2021-04-01,14.7,107.1
159,何魂,2021-05-01,17.7,139.2
159,何魂,2021-06-01,21.9,232.3
159,何魂,2021-07-01,26.3,399.9
159,何魂,2021-08-01,26.2,481.2
159,何魂,2021-09-01,22.9,164.7
159,何魂,2021-10-01,18.7,18.2
159,何魂,2021-11-01,12.5,57.9
159,何魂,2021-12-01,6,4.5
159,何魂,2022-01-01,4,0
159,何魂,2022-02-01,3.6,0
159,何魂,2022-03-01,10.5,127.4
159,何魂,2022-04-01,14.9,130.6
159,何魂,2022-05-01,19,5.4
159,何魂,2022-06-01,21.7,152
159,何魂,2022-07-01,26.2,145
159,何魂,2022-08-01,26.4,176.7
159,何魂,2022-09-01,22.9,162.4
159,何魂,2022-10-01,17.6,9.7
159,何魂,2022-11-01,14.4,61.3
