지점,지점명,일시,평균기온(°C),평균 풍속(m/s),평균 상대습도(%)
188,성산,2022-12-01,4,2.9,65.6
188,성산,2022-12-02,5.2,2.3,72.4
188,성산,2022-12-03,10.2,2.2,89.3
188,성산,2022-12-04,7.7,3.6,63.4
188,성산,2022-12-05,4.8,3.9,55.4
188,성산,2022-12-06,5.9,2.7,62.4
188,성산,2022-12-07,8.1,2.7,62.4
188,성산,2022-12-08,8,2.3,65.3
188,성산,2022-12-09,10,1.9,64.4
189,서귀포,2022-11-09,17.1,1.4,63.4
189,서귀포,2022-11-10,19.3,1.8,78.4
189,서귀포,2022-11-11,20.6,2,78.1
189,서귀포,2022-11-12,21.1,1.5,95.1
189,서귀포,2022-11-13,17.8,1.6,76.3
189,서귀포,2022-11-14,15.1,1,65.3
189,서귀포,2022-11-15,13.6,1.4,70.6
189,서귀포,2022-11-16,14.4,1.5,65.4
189,서귀포,2022-11-17,15.5,1.5,70
189,서귀포,2022-11-18,17.2,3,70.9
189,서귀포,2022-11-19,18.2,2.9,72.8
189,서귀포,2022-11-20,16.2,2.4,87.3
189,서귀포,2022-11-21,16.3,1.4,73.5
189,서귀포,2022-11-22,16.3,2.1,72.1
189,서귀포,2022-11-23,16.5,1.3,72.1
189,서귀포,2022-11-24,15.4,1.6,53.5
189,서귀포,2022-11-25,15.9,1.3,61
189,서귀포,2022-11-26,16.3,1.4,62.6
189,서귀포,2022-11-27,15.8,1.5,66.4
189,서귀포,2022-11-28,20.7,2.1,87.9
189,서귀포,2022-11-29,18,1.9,88.4
189,서귀포,2022-11-30,8.3,1.5,66
189,서귀포,2022-12-01,6,1.3,59.1
189,서귀포,2022-12-02,7.3,1.9,63.5
189,서귀포,2022-12-03,11.5,1.3,85.5
189,서귀포,2022-12-04,12,0.8,72.8
189,서귀포,2022-12-05,10,1.6,70.4
189,서귀포,2022-12-06,8,1.8,57.6
189,서귀포,2022-12-07,10.8,1.3,56.6
189,서귀포,2022-12-08,10.7,1.1,61.3
189,서귀포,2022-12-09,11,1.2,54.3
